"STATION","NAME","DATE","PRCP"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-03","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-04","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-05","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-06","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-07","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-08","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-09","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-10","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-11","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-12","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-13","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-14","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-15","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-16","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-17","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-18","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-19","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-20","0.17"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-21","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-22","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-23","0.28"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-24","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-25","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-26","0.90"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-27","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-28","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-29","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-30","0.00"
"US1DEKN0028","MAGNOLIA 1.4 SSE, DE US","2023-01-31","0.00"
